CID,Industry,Topic,Metric,Code,Page,Heading or Fragment,Value,Unit,SASB Unit of Measurement,Complete
Innergex,Energy,,,IF-EU-110a.1,35,"En 2021, les émissions indirectes étaient bien plus faibles, à seulement 4 810,10 tonnes de CO?e.","4 810,10",tonnes métriques (t) d’éq. CO?,tonnes métriques (t) d’éq. CO?,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"En 2023, l’intensité totale du champ d’application 1 est de 0,129 kg d’équivalent CO?/MWh, légèrement supérieure à celle de 2022 (0,120).",0.129,kg d’équivalent CO?/MWh,"Metric tonnes
(t) CO2-e,
Percentage
(%)",FALSE
Innergex,Energy,,,IF-EU-110a.1,35,"En tenant compte des émissions fugitives, l’intensité du champ d’application 1 atteint 0,135 kg éq. CO?/MWh en 2023.",0.135,kg d’équivalent CO?/MWh,,FALSE
Innergex,Energy,,,IF-EU-110a.1,35,"L’intensité totale des GES, incluant les émissions fugitives, est de 0,916 en 2023, contre 1,281 en 2022.",0.916,kg d’équivalent CO?/MWh,,FALSE
Innergex,Energy,,,IF-EU-110a.1,35,"En 2021, l’intensité totale des GES (avec ou sans émissions fugitives) était plus faible, à 0,625 kg éq. CO?/MWh.",0.625,kg d’équivalent CO?/MWh,,FALSE
Innergex,Energy,,,IF-EU-110a.1,35,"En 2023, le champ d’application 1 représente 14,09 % des émissions totales de gaz à effet de serre.",14.09,%,Percentage %,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"Le champ d’application 2 représente quant à lui 85,91 % des émissions totales en 2023.",85.91,%,Percentage %,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"En 2022, la part des émissions du champ d’application 1 était plus faible, à seulement 9,49 %.",9.49,%,Percentage %,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"En revanche, en 2021, le champ d’application 1 pesait davantage dans les émissions totales, avec 21,92 %.",21.92,%,Percentage %,TRUE
Innergex,Energy,,,IF-EU-110a.1,35,"Le champ d’application 2 a représenté 90,51 % des émissions en 2022, contre 78,08 % en 2021.",90.51,%,Percentage %,TRUE
Innergex,Energy,,"Customer electricity savings from
efficiency measures, by market 3",IF-EU-420a.3,36,"La consommation totale d'énergie a représenté 33 756,90 MWh en 2023, contre 43 889,17 en 2022 et 30 554,43 en 2023.
La méthodologie de calcul des émissions évitées est fondée,aussi précisément que possible, sur les différents réseauxénergétiques locaux dans les régions où nous produisonsde l’énergie renouvelable, sur la base de l’hypothèse que laproduction de nos installations hydroélectriques, éolienneset solaires remplace une quantité équivalente d’électricitéproduite dans le réseau existant.Nos émissions évitées sont calculées en comparant la quantitéd’électricité renouvelable produite par Innergex dans un paysdonné à ce que seraient les émissions associées si cetteélectricité était produite à partir du réseau existant. Par exemple,si Innergex produit 100 kWh d’électricité en Ontario, nouscalculons quelles seraient les émissions associées à l’achat de100 kWh du réseau ontarien, en utilisant le facteur d’émissionsdu réseau de cette province.Nous avons appliqué les facteurs d’émissions (FE) nationauxdes États-Unis, de France et du Chili pour notre productiondans ces trois pays, et un facteur d’émissions pancanadien pourtous les actifs situés au Canada. Pour nous assurer de tenircompte des grandes différences dans les intensités de réseauprovinciales, nous avons calculé une moyenne pondérée des FEprovinciaux en fonction de la quantité produite par Innergex danschaque province (par exemple, si 50 % des kWh renouvelablesproduits par Innergex provenaient du Québec, le FE effectifreprésenterait 50 % du FE pancanadien calculé).Au Canada, les facteurs d’émissions sont tirés du Rapportd’inventaire national. Aux États-Unis, nous utilisons une moyennenationale basée sur les chiffres de l’Agence états-unienne deprotection de l’environnement. En France, les chiffres proviennentd’Ecometrica et de l’Agence européenne pour l’environnement.Au Chili, les chiffres proviennent d’Ecometrica.Une campagne interne d’ef?cacitéénergétique lancée dans notre bureaude Santiago, au Chili, a entraînéune baisse de29 %de la consommation d’énergieen 2023 par rapportà l’année précédente","33 756,90",MWh,MWh,TRUE
Innergex,Energy,"Water
Management","(1) Total water withdrawn, (2) total water
consumed; percentage of each in regions
with High or Extremely High Baseline
Water Stress",IF-EU-140a.1,40,Eau totale consommée (m3) représentait 10 865 m3 en 2023 contre 5 115 en 2022.,10 865,m3,m3,TRUE
Innergex,Energy,,"Number of incidents of non-compliance
associated with water quality permits,
standards and regulations",IF-EU-140a.1,40,"Nombre d’incidents denon-conformité associés aux permis, normes et réglementations portant sur la quantité ou la qualité de l’eau prélevée",0,nombre,"Thousand
cubic metres
(m3),
Percentage
(%)",FALSE
Innergex,Energy,,,IF-EU-140a.1,40,"Nombre d’incidents de non-conformité associés aux permis,normes et règlements relatifs àla quantité et/ou à la qualité de l’eau",0,nombre,,FALSE
Innergex,Energy,,,IF-EU-110a.1,53,"La performance sur les émissions mondiales brutes de champ d'application 1 s'élevait à 1 430,43 tonnes métriques d’éq. CO2 (14,09 %) en 2023.","1 430,43",tonnes métriques (t) d’éq. CO?,tonnes métriques (t) d’éq. CO?,TRUE
Innergex,Energy,,"Greenhouse gas (GHG) emissions
associated with power deliveries",IF-EU-110a.2,53,"La performance sur les émissions de GES associées 
aux livraisons d'electricité s'élevait à 0 tonnes métriques (t) d’éq. CO? en 2023.",0,tonnes métriques (t) d’éq. CO?,tonnes métriques (t) d’éq. CO?,TRUE
Innergex,Energy,,,IF-EU-110a.3,53,"Discussion de la stratégie ou duplan à court et à long terme pourgérer les émissions de champd’application 1, des objectifs deréduction des émissions et del’analyse des performances parrapport à ces objectifs.Depuis 1990, Innergex se concentre exclusivement sur laproduction d’énergie à partir de ressources renouvelables.Notre Politique relative au développement durable stipule quela Société continue à analyser et à évaluer les répercussionsde ses activités sur l’environnement et, dans la mesure dupossible, à améliorer les procédures et les résultats. Nousévaluons et améliorons continuellement nos procédures enaugmentant l’ef?cacité de tous les aspects de nos opérations, tout en continuant à nous engager à augmenter notre part deproduction d’énergie renouvelable. Les rapports de la Sociétésont actuellement en adéquation avec les indicateurs desODD, du CDP et du SASB. De plus, la Société a publié en 2022un rapport d’évaluation climatique en adéquation avec lesnormes du TCFD.",N/A,N/A,N/A,TRUE
Innergex,Energy,Air Quality,"Air emissions of the following pollutants:
(1) NOx (excluding N2O), (2) SOx,
(3) particulate matter (PM10), (4) lead
(Pb), and (5) mercury (Hg); percentage of
each in or near areas of dense population",IF-EU-120a.1,53,"Pour la qualité de l’air en 2023, l’oxyde de soufre (SOx) représente 0 tonne métrique et 0% d'émission dans ou à proximitéde zones à forte densité de population.",0,tonnes métriques,tonnes métriques,TRUE
Innergex,Energy,Air Quality,,IF-EU-120a.1,53,"Pour la qualité de l’air en 2023, l’oxyde d'azote (NOx) représente 0 tonne métrique et 0% d'émission dans ou à proximitéde zones à forte densité de population.",0,tonnes métriques,tonnes métriques,TRUE
Innergex,Energy,Air Quality,,IF-EU-120a.1,53,"Pour la qualité de l’air en 2023, les particules (PM10) représente 0 tonne métrique et 0% d'émission dans ou à proximitéde zones à forte densité de population.",0,tonnes métriques,tonnes métriques,TRUE
Innergex,Energy,Air Quality,,IF-EU-120a.1,53,"Pour la qualité de l’air en 2023, le plomb (Pb) représente 0 tonne métrique et 0% d'émission dans ou à proximitéde zones à forte densité de population.",0,tonnes métriques,tonnes métriques,TRUE
Innergex,Energy,Air Quality,,IF-EU-120a.1,53,"Pour la qualité de l’air en 2023, le mercure (Hg) représente 0 tonne métrique et 0% d'émission dans ou à proximitéde zones à forte densité de population.",0,tonnes métriques,tonnes métriques,TRUE
Innergex,Energy,,,IF-EU-140a.1,54,L'eau totale prélevée en 2023 s'élève à 39 893 990 150 m3 (dont 99 % est retournée à sa source d'origine),39 893 990 150,m3,m3,TRUE
Innergex,Energy,,,IF-EU-140a.1,54,La consommation totale d’eau en 2023 s'élève à 10 865 m3.,10 865,m3,m3,TRUE
Innergex,Energy,,,IF-EU-140a.1,54,Le pourcentage de chacune ayant eu lieu dans des régions à stress hydrique de référence élevé ou extrêmement élevé est de 14 % dans une zone à risque hydrique élevé ou extrêmement élevé.,14,%,Percentage %,TRUE
Innergex,Energy,,,IF-EU-140a.2,54,"Le nombre d’incidents de non-conformité associés aux permis,normes et règlements relatifs àla quantité et/ou à la qualité del’eau en 2023 était de 0.",0,nombre,nombre,TRUE
Innergex,Energy,,"Description of water management risks
and discussion of strategies and practices
to mitigate those risks",IF-EU-140a.3,54,"Description des risques liés à lagestion de l’eau et discussion des stratégies et pratiquesvisant à atténuer ces risques. Description des risques liés à lagestion de l’eau et discussiondes stratégies et pratiquesvisant à atténuer ces risques.La consommation d’eau dans les installations et les bureauxd’Innergex est minime, limitée principalement aux usagesdomestiques dans nos bureaux et dans les résidences desopérateurs et opératrices. Notre seule activité commerciale,la production d’électricité renouvelable, ne nécessite pas deconsommation d’eau. Par conséquent, la gestion et laplani?cation en vue de réduire la consommation d’eau ne constituent pas une mesure de développement durable pournos installations. Les installations de production éolienne etsolaire n’utilisent généralement pas d’eau, à l’exception dunettoyage de la poussière des panneaux solaires de trois denos installations solaires au Chili (San Andrés, Salvador etPampa Elvira). Dans ce cas du lavage des panneaux au Chili,l’utilisation de l’eau est coûteuse et très réglementée, et leprocessus prend du temps ; autant de facteurs qui amènentnos équipes d’exploitation à limiter autant que possible laconsommation d’eau pour le lavage des panneaux. Les projetshydroélectriques détournent l’eau à travers un tuyau ou untunnel vers une centrale électrique, a?n d’entraîner des turbines à eau, puis la renvoient à la même rivière ou ruisseausource sans altération. Le détournement de toute eau utiliséepour la production hydroélectrique est temporaire et non-consommateur. Bien que la consommation d’eau ne soit pas activementgérée par Innergex, l’eau elle-même est essentielle au voletde production hydroélectrique de nos activités ; un manqued’eau entraîne une baisse de la production, tandis qu’unexcès d’eau peut endommager les infrastructures. Lesrépercussions des changements climatiques sur les débits?uviaux et les schémas d’écoulement futurs peuvent potentiellement avoir une incidence sur les prévisionsénergétiques à long terme et le pro?l énergétique d’un actif. Les sécheresses et les vagues de chaleur extrêmes fontplace à des rivières atmosphériques et à des inondations.Pour l’aménagement de nouvelles installations hydro-électriques ou l’acquisition d’installations existantes, il faudratenir compte de l’évolution potentielle des écoulementsd’eau dans le futur. Les installations d’énergie renouvelable,et leurs capacités de production, seront directementtouchées par les changements chroniques dans lesconditions de précipitations, de vent et de température. Ceschangements peuvent avoir des effets à la fois positifs etnégatifs, mais leurs répercussions réelles étant généralementinconnues, il convient de les considérer comme un risquesujet à une analyse plus approfondie par Innergex.Au total, si on regroupe toutes les installationshydroélectriques actuellement exploitées par Innergex auCanada, aux États-Unis et au Chili, on arrive à 41 installations.Parmi celles-ci, 37 se trouvent dans des endroits à « faible risque global pour l’eau », selon la classi?cation d’Aqueduct, l’Atlas des risques liés à l’eau du World Resources Institute.Trois sont situées dans des zones classées à « risque hydrique global faible à moyen » et la dernière se trouve dans une zone classée à « risque hydrique global moyen-élevé ». Nos projets hydroélectriques sont conçus après analyse deshydrogrammes historiques de débit ?uvial et des projections de production correspondantes (par exemple, les donnéesrelatives à la pluie et à la neige). Par conséquent, les projetssitués dans des zones arides ont été construits en tenantcompte des conditions locales. Indépendamment del’évaluation des risques liés à l’eau, les conditionsmétéorologiques mondiales, y compris les précipitations,deviennent de plus en plus variables à mesure que leschangements climatiques s’intensi?ent. Ce facteur continuera d’in?uencer l’exploitation de nos projets hydroélectriques. Innergex gère attentivement les risques physiques, y comprisla préparation et la réaction aux conditions météorologiquesexceptionnelles, par le biais d’activités telles que la sélectionproactive du tracé, la conception des infrastructures entenant compte des conditions météorologiques extrêmes,l’entretien régulier et l’assurance. Innergex se conformeà des codes d’ingénierie réglementés, évalue les moyensd’améliorer la ?abilité et la résilience du système et, le cas échéant, soumet des demandes réglementaires pour lesdépenses en immobilisations visant à augmenter la ?abilité et la résilience du système. Lors de la plani?cation d’un investissement en capital ou de l’acquisition d’actifs, noustenons compte du climat et des conditions météorologiquespropres du site, tels que la cartographie des plainesinondables et l’historique des phénomènes météorologiquesextrêmes.Innergex s’assure de gérer le détournement des eauxconformément aux lois et règlements applicables, et à nospermis et approbations qui tiennent compte des besoins del’écosystème et des espèces aquatiques sur chaque site deprojet. Par exemple, des composants physiques tels que deséchelles à poissons ont été conçus pour faciliter le passagedes poissons en amont des prises d’eau de notre projet, etdes systèmes d’exclusion tels que des prises d’eau à écranCoanda ont été installés pour éviter l’entraînement despoissons dans nos turbines. Innergex gère un portefeuille desites d’habitat du poisson spécialement construits, conçuspour compenser tout effet anticipé lié au projet sur l’habitataquatique. Nous déclarons également notre consommationd’eau et le statut de conformité de nos permis réglementairesaux agences gouvernementales.",N/A,N/A,N/A,TRUE
Innergex,Energy,"Workforce
Health &
Safety","(1) Total recordable incident rate (TRIR),
(2) fatality rate, and (3) near miss
frequency rate (NMFR) for (a) direct
employees and (b) contract employees", IF-EU-320a.1,56,"Le taux de fréquence des accidents enregistrables total (TRIR) est de 1,74.",1.74,taux,taux,TRUE
Innergex,Energy,,, IF-EU-320a.1,56,"Le taux de fréquence des quasi-accidents (NMFR) est de 10,04 en 2023.",10.04,taux,taux,TRUE
Innergex,Energy,,, IF-EU-320a.1,56,Le taux de mortalité est de 0 en 2023.,0,taux,taux,TRUE
Innergex,Energy,Grid Resiliency,"Number of incidents of non-compliance
with physical or cybersecurity standards or
regulations",IF-EU-550a.1,56,"Nombre d’incidents de non-conformité aux normes ou réglementations physiquesou de cybersécuritéInnergex est soumise aux normes obligatoires de protectiondes infrastructures critiques (Critical Infrastructure Protection, CIP) adoptées par la North American ElectricReliability Corporation (NERC). Notre pratique consiste àdéclarer tous les cas identi?és de non-conformité réelle ou potentielle aux normes CIP (physiques et de cybersécurité)de la NERC, quelle que soit leur gravité. En 2023, nous avons découvert 7 cas de non-conformité réelle ou potentielle quisont toujours en cours d’examen.",7,nombre,nombre,TRUE
Innergex,Energy,Grid Resiliency,"(1) System Average Interruption Duration
Index (SAIDI), (2) System Average
Interruption Frequency Index (SAIFI), and
(3) Customer Average Interruption
Duration Index (CAIDI), inclusive of major
event days 4",IF-EU-550a.2,56,"Concernant l'ndice de durée moyenne d’interruption du système, nos client·e·s ne comptent pas de particulier·ère·s. ",N/A,N/A,"Minutes, Number",FALSE
Malakkof Humanis,Finance,,"Percentage of gross exposure included in
the financed emissions calculation",FN-IN-410c.3,10,"A ?n 2022, la part des investissements cotés dans des fonds classés Article 8 ou 9 s’élève à 94 %.",94,%,Percentage %,TRUE
Malakkof Humanis,Finance,"Policies
Designed to
Incentivise
Responsible
Behaviour","Discussion of products or product features
that incentivise health, safety or
environmentally responsible actions or
behaviours",FN-IN-410b.2,10,"Obligations vertes, sociales et durablesLes obligations vertes sont des obligations émises par des entreprises ou des entitéspubliques, destinées à ?nancer des activités ou des projets ayant un impact environne-mental positif. Les obligations sociales sont destinées au ?nancement de dé?s sociauxglobaux (besoins essentiels, populations vulnérables), tandis que les obligations du-rables englobent des dimensions environnementales et sociales. La souscription à desobligations vertes vise l’obtention d’un béné?ce à la fois ?nancier et extra-?nancier. Au31/12/2022, le Groupe détient 1,152 milliard d’euros d’obligations vertes au travers de sastratégie obligataire (ainsi que 158 millions d’euros d’obligations durables et 201 millionsd’euros d’obligations sociales). Ce chi?re est en forte hausse, comparativement aux 441millions d’euros d’obligations vertes détenues à ?n 2021.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,11,"Cette répartition géographique et sectorielle est issue de l’évaluation Carbon4 Finance et porte sur un périmètre de 26,5 milliards d’euros (investissements analysables dans lesactifs cotés : actions, obligations souveraines et d’entreprises). Le taux de couverture sur ce périmètre s’élève à 97 %.",97,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,12,"Part de l’encours couverte par une analyse ESG2 La part des investissements non cotés couverte par une analyse ESG s’élève à 88% (74%pour le Private Equity, 96% pour la dette privée et 82% pour les autres investissements non cotés).",88,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410c.3,13,"Classi?cation SFDRSur 38 fonds, 23 sont classés « Article 6 » (sans objectif d’investissement durable ni priseen compte des critères ESG), 10 sont classés « Article 8 » (déclaration de prise en comptedes critères ESG) et 5 sont classés « Article 9 » (présentation d’un objectif d’investisse-ment durable).Cela représente 13,3% des encours investis dans des fonds Article 8 ou 9",13.3,%,Percentage %,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,13,"1.4. Une politique ISR renforcée1.4.1. La démarche ISR globale mise en place par le groupeLa politique d’investissement responsable prévoit une démarche d’amélioration sur quatrethématiques jugées prioritaires : la parité, le handicap, le réchau?ement climatique, et labiodiversité.Sa mise en œuvre opérationnelle s’articule autour de trois axes complémentaires : l’inéli-gibilité d’activités controversées, une politique d’investissement et d’engagement intégrantdes critères ESG, la croissance des investissements à impact.Ces critères sont désormais intégrés dans les appels d’o?re des mandats et des fondsdédiés. Ils ?gurent dans les conventions de gestion mises en place avec les gérants.Exclusions sectorielles et normativesDe façon transversale, une politique d’exclusion s’applique à tous les encours. Elleporte sur la production d’armes controversées (mines antipersonnel et bombes à sous-munitions), la production de tabac et l’implantation des sièges sociaux dans des paradis?scaux. Début 2023, le groupe a validé une politique de sortie du charbon et des critèresde sélectivité dans les énergies fossiles non conventionnelles3.Réduction du périmètre d’investissement selon des critères ESGPour chaque fonds dédié, le périmètre d’investissement est réduit de 20% ; les entreprisesdont les performances ESG sont les moins bonnes ne sont pas investissables, que cesoit pour des raisons d’exclusion sectorielle et normative, ou en lien avec les notes ESGobtenues. Cette approche se fait en collaboration avec les partenaires de gestion.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410b.2,14,"Investissement dans des fonds à impactLes investissements à impact se dé?nissent selon trois grandes caractéristiques :• Une intentionnalité ( « volonté intentionnelle de l’investisseur de contribuer à générer unbéné?ce social ou environnemental mesurable »)• Une mesurabilité (« évaluation des externalités sociales et/ou environnementales desinvestissements »)• Une additionnalité (« action ou contribution particulière et directe de l’investisseurpermettant à l’entreprise investie ou au projet ?nancé d’accroître l’impact net positifgénéré par ses activités »)4.A?n d’avoir une approche rigoureuse dans la recherche d’impact, les di?érentescatégories d’investissement ont été classées en fonction de leur niveau d’additionnalité.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410b.2,14,"Concernant les catégories à plus forte contribution positive, Malako? Humanis a investidans di?érents fonds à impact à hauteur de près de 100 millions d’euros. Deux fondssont particulièrement emblématiques dans leur approche et dans les montants en coursd’investissement.Fonds Sienna Obligations Impact Social ISRDébut 2022, Malako? Humanis a lancé, avec Sienna Impact Managers, un premier fondsde dette privée à impact social.Avec un engagement de 70 M€, Malako? Humanis porte une part importante des encoursdu fonds.Le fonds Sienna Obligations Impact Social ISR a vocation à investir dans l’économie réelleavec un impact social fort principalement à travers trois enjeux sociaux que sont la réduc-tion des inégalités hommes / femmes, l’inclusion des personnes en situation de handicapdans le monde du travail et l’emploi des seniors. Un audit social est réalisé au préalable,a?n de dé?nir les axes d’amélioration qui doivent être mis en place par l’entreprise en fonc-tion des faiblesses identi?ées. Le coût de remboursement de la dette par les entreprises?nancées par ce fonds est directement corrélé au respect d’une trajectoire d’améliorationsur un ou plusieurs enjeux sociaux.Fonds LBPAM Infrastructure Debt Climate ImpactFin 2022 / début 2023, Malako? Humanis a souscrit 20 M€ dans le fonds LBPAM In-frastructure Debt Climate Impact. Ce fonds européen, de dette senior sécurisée, investitdans tous les secteurs éligibles à la taxonomie européenne. Son objectif est plus particu-lièrement de contribuer à l’ODD 13 des Nations Unies.En intégrant les obligations vertes, sociales et durables, Malako? Humanis s’est ?xé pourobjectif d’investir d’ici 2025 1 milliard d’euros dans des investissements à forte matérialité,en faveur de la transition énergétique, écologique et sociale.",N/A,N/A,N/A,TRUE
Malakkof Humanis,Finance,,,FN-IN-410a.2,16,"1.4.2. Une approche ESG di?érenciée pour les investissements en privateequity, dette privée et infrastructuresLe comité d’investissement dédié à cette classe d’actifs intègre systématiquement uneévaluation ESG des dossiers, selon la grille d’analyse suivante :GouvernanceEngagementsStratégiePolitique d’exclusionMoyens internes et externesIndicateurs de suivi, mesure des risques et de la contribution positiveCas concrets et controversesCet éclairage complémentaire participe aux arbitrages réalisés par l’équipe degestion, en cohérence avec le projet d’investissement. Il s’agit de s’assurer que la thèsed’investissement soit alignée avec la politique ISR de Malako? Humanis.Les caractéristiques ESG sont intégrées aux «due diligences» (ensemble devéri?cations dans le but de sécuriser un investissement), dans le cadre du mémorandumd’investissement des gérants de fonds. Les critères ESG ?gurent également dans unarticle dédié dans les lettres d’engagement.",N/A,N/A,N/A,TRUE
